TEST_NUM,IIDNESS,COHORT_SIZE,LR,TOTAL_ROUNDS,AVERAGE_SECONDS_PER_ROUND
1,0,5,0.1,148,9.312151104111123
2,0,10,0.1,97,14.454125057565067
3,0,15,0.1,84,26.34880257100754
4,0,20,0.1,42,30.629491077713844
5,20,5,0.1,2,18.557504795491695
6,20,10,0.1,1,34.658217465970665
7,20,15,0.1,2,53.71183959254995
8,20,20,0.1,2,57.39561888715252
9,40,5,0.2,3,14.636835123257091
10,40,10,0.2,3,27.36904932713757
11,40,15,0.2,2,40.055824514711276
12,40,20,0.2,3,55.987058834793665
13,60,5,0.2,2,15.282323631457984
14,60,10,0.2,2,28.834909465629607
15,60,15,0.2,3,42.95541538530961
16,60,20,0.2,3,64.74434355072056
17,80,5,0.2,3,15.834480517699072
18,80,10,0.2,100,28.315982795963063
19,80,15,0.2,2,44.0058031915687
20,80,20,0.2,2,65.38357882131822
21,100,5,0.2,1,15.59065572079271
22,100,10,0.2,1,28.869486731942743
23,100,15,0.2,1,41.52322806371376
24,100,20,0.2,1,65.39754133904353
